match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
366627,2009-03-08,AMI Stadium,Christchurch,ODI,New Zealand,India,New Zealand,field,India,726,15,587,97.83
366709,2008-12-31,Queenstown Events Centre,,ODI,New Zealand,West Indies,New Zealand,field,,129,5,219,36.5
366711,2009-01-07,Westpac Stadium,Wellington,ODI,New Zealand,West Indies,New Zealand,field,New Zealand,257,13,383,63.83
374059,2008-11-12,Sheikh Zayed Stadium,Abu Dhabi,ODI,Pakistan,West Indies,West Indies,bat,Pakistan,589,15,619,103.17
374060,2008-11-14,Sheikh Zayed Stadium,Abu Dhabi,ODI,Pakistan,West Indies,Pakistan,bat,Pakistan,440,20,604,100.67
375456,2008-11-20,Harare Sports Club,,ODI,Zimbabwe,Sri Lanka,Sri Lanka,field,Sri Lanka,257,14,411,68.5
375457,2008-11-22,Harare Sports Club,,ODI,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,135,11,302,50.33
375460,2008-11-24,Harare Sports Club,,ODI,Zimbabwe,Sri Lanka,Zimbabwe,field,Sri Lanka,337,14,355,59.17
375462,2008-11-30,Harare Sports Club,,ODI,Zimbabwe,Sri Lanka,Zimbabwe,field,Sri Lanka,285,20,579,96.5
377313,2009-06-26,"Sabina Park, Kingston",Jamaica,ODI,West Indies,India,India,bat,India,658,16,617,102.83
377314,2009-06-28,"Sabina Park, Kingston",Jamaica,ODI,West Indies,India,India,bat,West Indies,380,12,510,85.0
377315,2009-07-03,"Beausejour Stadium, Gros Islet",St Lucia,ODI,West Indies,India,India,field,India,345,11,300,50.0
377316,2009-07-05,"Beausejour Stadium, Gros Islet",St Lucia,ODI,West Indies,India,India,field,,27,1,47,7.83
378753,2009-01-10,Shere Bangla National Stadium,Mirpur,ODI,Bangladesh,Zimbabwe,Bangladesh,field,Zimbabwe,372,19,591,98.5
378755,2009-01-14,Shere Bangla National Stadium,Mirpur,ODI,Bangladesh,Sri Lanka,Bangladesh,field,Bangladesh,298,15,335,55.83
378759,2009-01-23,Shere Bangla National Stadium,Mirpur,ODI,Bangladesh,Zimbabwe,Bangladesh,field,Bangladesh,240,13,428,71.33
380715,2009-05-24,County Ground,Bristol,ODI,England,West Indies,England,field,England,321,14,459,76.5
380716,2009-05-26,Edgbaston,Birmingham,ODI,England,West Indies,West Indies,field,England,598,17,611,101.83
383275,2009-08-27,"Civil Service Cricket Club, Stormont",Belfast,ODI,Ireland,England,England,bat,England,315,18,430,71.67
