match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
odi,V Permaul,4,2,19,28,1,0,2,67.85714285714286
odi,V Sehwag,164,2,5692,5584,760,106,161,101.93409742120343
odi,V Shankar,7,2,194,210,18,4,5,92.38095238095238
odi,V Shetty,1,1,7,17,0,0,1,41.17647058823529
odi,V Shukla,7,2,144,172,6,7,6,83.72093023255815
odi,V Sibanda,97,2,2125,3467,235,25,90,61.29218344389963
odi,V Sukumaran,10,2,194,314,16,6,10,61.78343949044586
odi,VAB Tewarie,1,1,4,22,0,0,1,18.181818181818183
odi,VB van Jaarsveld,2,2,9,16,0,0,1,56.25
odi,VC Drakes,9,2,58,124,3,0,7,46.774193548387096
odi,VCE Wattenberg,2,1,0,3,0,0,2,0.0
odi,VD Philander,18,2,151,219,14,0,11,68.94977168949772
odi,VJ Kingma,9,2,14,46,0,1,6,30.434782608695656
odi,VM Nyauchi,5,2,43,53,5,1,5,81.13207547169812
odi,VR Aaron,3,1,8,15,1,0,1,53.333333333333336
odi,VR Iyer,2,2,24,41,0,1,2,58.536585365853654
odi,VR Vanitha,2,2,50,64,8,0,4,78.125
odi,VRV Singh,1,1,8,13,1,0,1,61.53846153846154
odi,VS Solanki,33,2,829,1194,105,4,30,69.43048576214406
odi,VV Morea,8,2,142,228,13,1,10,62.28070175438597
odi,VVS Laxman,27,2,828,1142,80,1,24,72.50437828371278
odi,Vikramjit Singh,43,2,1259,1800,140,16,41,69.94444444444444
odi,W Barresi,34,2,820,1076,92,12,33,76.2081784386617
odi,W Jaffer,2,1,10,23,2,0,2,43.47826086956522
odi,W Madhevere,33,2,743,963,69,5,31,77.15472481827622
odi,W Mwayenga,2,2,1,11,0,0,2,9.090909090909092
odi,W O'Rourke,4,2,6,17,0,0,2,35.294117647058826
odi,W Sutherland,1,1,18,33,0,0,1,54.54545454545454
odi,WA Agar,2,1,50,43,4,2,2,116.27906976744187
odi,WA Young,45,2,1620,1912,185,24,42,84.72803347280335
odi,WB Rankin,20,2,78,183,3,1,5,42.62295081967213
odi,WCA Ganegama,1,1,7,8,1,0,1,87.5
odi,WD Balaji Rao,5,2,22,43,2,0,4,51.162790697674424
odi,WD Parnell,42,2,574,743,43,9,27,77.25437415881561
odi,WF Stelling,2,1,40,39,2,2,0,102.56410256410255
odi,WG Jacks,17,2,556,561,51,17,17,99.10873440285205
odi,WGAKK Kulasuriya,20,2,82,195,10,0,14,42.05128205128205
odi,WIA Fernando,47,2,1405,1657,147,23,47,84.7917923958962
odi,WK Dilhari,28,2,665,870,54,5,25,76.4367816091954
odi,WK McCallan,13,2,101,176,9,0,11,57.38636363636363
odi,WP Masakadza,22,2,239,382,21,2,17,62.56544502617801
odi,WP Saha,5,2,41,59,5,0,3,69.49152542372882
odi,WPUJC Vaas,69,2,569,845,43,3,46,67.33727810650888
odi,WS Jayantha,9,2,206,322,24,1,9,63.975155279503106
odi,WT Gavera,1,1,4,6,1,0,0,66.66666666666666
odi,WTS Porterfield,89,2,2670,3962,274,27,93,67.3902069661787
odi,WU Tharanga,206,2,6482,8845,742,52,189,73.28434143583947
odi,WW Hinds,38,2,1066,1626,90,21,33,65.55965559655597
odi,Wahab Riaz,65,2,725,863,54,29,47,84.00926998841251
odi,Waheed Ahmed,6,2,73,131,8,2,6,55.72519083969466
odi,Waqar Younis,4,2,17,25,1,0,4,68.0
odi,Waqas Barkat,4,2,25,54,2,0,3,46.2962962962963
odi,Waqas Khan,4,2,52,106,3,0,2,49.056603773584904
odi,Waseem Muhammad,61,2,1567,1819,133,77,63,86.14623419461242
