match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
t20,A Kano,Japan,210,317,21,66.24605678233438,Papua New Guinea
t20,A Kansonkho,Malawi,2,5,2,40.0,Namibia
t20,A Kapoor,Canada,9,4,0,225.0,Cayman Islands
t20,A Karmacharya,Nepal,17,47,8,36.17021276595745,United Arab Emirates
t20,A Karn,Nepal,4,7,1,57.14285714285714,United Arab Emirates
t20,A Katoa,Cook Islands,31,71,3,43.66197183098591,Fiji
t20,A Kaul,Singapore,51,64,7,79.6875,Qatar
t20,A Khaka,South Africa,34,60,4,56.666666666666664,Bangladesh
t20,A Khan,Denmark,47,53,6,88.67924528301887,Norway
t20,A Khan,England,2,4,1,50.0,South Africa
t20,A Kheterpal,Hungary,288,261,11,110.34482758620689,Czech Republic
t20,A King,Australia,28,32,2,87.5,Sri Lanka
t20,A Kirschbaum,Argentina,210,244,17,86.0655737704918,Brazil
t20,A Kitayama,Japan,24,44,6,54.54545454545454,Papua New Guinea
t20,A Kohli,Germany,92,122,7,75.40983606557377,Italy
t20,A Kolan,United States of America,267,344,16,77.61627906976744,Canada
t20,A Kone,Mali,0,3,1,0.0,Kenya
t20,A Konhu,France,19,26,3,73.07692307692307,Germany
t20,A Kontopirakis,Italy,32,30,1,106.66666666666667,Jersey
t20,A Kourkoulou,Greece,5,30,3,16.666666666666664,Romania
t20,A Krishna,Singapore,34,33,3,103.03030303030303,Qatar
t20,A Kshirsagar,Czech Republic,7,10,2,70.0,Luxembourg
t20,A Kuthalingham,Turks and Caicos Island,37,40,2,92.5,Mexico
t20,A Langham,St Helena,43,43,4,100.0,Lesotho
t20,A Letuba,Botswana,2,8,2,25.0,Lesotho
t20,A Levaci,Fiji,0,1,1,0.0,Papua New Guinea
t20,A Limdawala,Malawi,103,129,7,79.84496124031007,Namibia
t20,A Lister,Scotland,476,396,27,120.2020202020202,Ireland
t20,A Littlejohns,Isle of Man,13,17,3,76.47058823529412,Guernsey
t20,A Magdalenic,Croatia,16,55,9,29.09090909090909,Sweden
t20,A Maheshwari,Croatia,40,69,9,57.971014492753625,Sweden
t20,A Makri,Greece,148,282,14,52.4822695035461,Romania
t20,A Manepalli,Luxembourg,33,36,2,91.66666666666666,Czech Republic
t20,A Manousis,Greece,39,35,5,111.42857142857143,Romania
t20,A Mansale,Vanuatu,572,500,23,114.39999999999999,Papua New Guinea
t20,A Mare,Qatar,192,297,15,64.64646464646465,United Arab Emirates
t20,A Martel,Guernsey,74,64,5,115.625,Germany
t20,A Mazvishaya,Zimbabwe,18,28,1,64.28571428571429,India
t20,A McAuley,Isle of Man,304,351,18,86.6096866096866,Guernsey
t20,A McKnight,Turks and Caicos Island,67,76,2,88.1578947368421,Mexico
t20,A Mehmood,Hong Kong,14,4,0,350.0,Scotland
t20,A Mene-Ejegi,Serbia,107,73,9,146.57534246575344,Greece
t20,A Merritt,Jersey,390,355,14,109.85915492957747,Norway
t20,A Mesarovic,Serbia,117,123,3,95.1219512195122,Greece
t20,A Meyenborg,Germany,9,28,1,32.142857142857146,Italy
t20,A Modi,Singapore,48,77,4,62.33766233766234,Qatar
t20,A Mohamed,Tanzania,90,118,9,76.27118644067797,Uganda
t20,A Mohammed,West Indies,64,101,8,63.366336633663366,England
t20,A Mokgotlhe,Botswana,268,323,23,82.97213622291022,Lesotho
t20,A Mongar,Bhutan,4,8,1,50.0,Maldives
t20,A Morris,Cayman Islands,14,32,4,43.75,United States of America
t20,A Mossop,Jersey,9,25,1,36.0,Norway
t20,A Motorwala,Botswana,2,10,3,20.0,Lesotho
t20,A Mundra,Sweden,153,98,4,156.12244897959184,Denmark
t20,A Munisar,West Indies,3,3,0,100.0,England
t20,A Mustafa,Argentina,30,27,2,111.11111111111111,Brazil
t20,A Mutreja,Singapore,141,110,7,128.1818181818182,Qatar
t20,A Nagarajan,Qatar,69,80,5,86.25,United Arab Emirates
t20,A Nanda,Luxembourg,50,60,5,83.33333333333334,Czech Republic
t20,A Nao,Papua New Guinea,56,45,3,124.44444444444444,Bangladesh
t20,A Nathwani,Austria,25,40,2,62.5,Germany
t20,A Natubhai Ahir,Panama,257,283,20,90.81272084805654,Bahamas
t20,A Ndiraya,Zimbabwe,136,174,12,78.16091954022988,India
t20,A Ndlovu,Zimbabwe,10,13,2,76.92307692307693,India
t20,A Nehra,India,28,42,5,66.66666666666666,England
t20,A Nel,South Africa,0,2,0,0.0,Bangladesh
t20,A Nimaga,Mali,11,13,2,84.61538461538461,Kenya
t20,A Nookala,Austria,5,50,3,10.0,Germany
t20,A Nortje,South Africa,17,35,6,48.57142857142857,Bangladesh
t20,A Nyirenda,Eswatini,1,5,1,20.0,Zimbabwe
t20,A Obulor,Nigeria,45,85,8,52.94117647058824,Oman
t20,A Orfila,Gibraltar,2,10,2,20.0,Portugal
t20,A Osei,Ghana,66,125,10,52.800000000000004,Namibia
t20,A Ostergaard,Denmark,28,57,2,49.122807017543856,Norway
t20,A Otwani,Uganda,150,157,13,95.54140127388536,Scotland
t20,A Oxley,Belize,116,161,5,72.04968944099379,United States of America
t20,A Parima,Cook Islands,250,232,14,107.75862068965519,Fiji
t20,A Patmore,Japan,273,308,18,88.63636363636364,Papua New Guinea
t20,A Paul,Estonia,22,29,2,75.86206896551724,Cyprus
t20,A Perera,Canada,143,210,13,68.0952380952381,Cayman Islands
t20,A Poulose,Oman,9,16,3,56.25,Scotland
t20,A Prashar,Hungary,55,39,3,141.02564102564102,Czech Republic
t20,A Prince,Argentina,13,44,7,29.545454545454547,Brazil
t20,A Pusthay,Finland,93,119,6,78.15126050420169,Sweden
t20,A Rajshekara,Romania,106,118,5,89.83050847457628,Bulgaria
t20,A Rameshan,Malta,111,166,4,66.86746987951807,Belgium
t20,A Randhawa,Austria,150,236,13,63.559322033898304,Germany
t20,A Rangaswamy,Botswana,13,16,5,81.25,Lesotho
t20,A Rautela,Norway,12,28,1,42.857142857142854,Germany
t20,A Raza,Belgium,244,168,17,145.23809523809524,Luxembourg
t20,A Reddy,India,72,90,12,80.0,England
t20,A Reyes,Gibraltar,145,197,14,73.60406091370558,Portugal
t20,A Salomao,Mozambique,55,114,10,48.24561403508772,Lesotho
t20,A Samildeen,Bahrain,6,40,3,15.0,Qatar
t20,A Sangare,Mali,0,6,1,0.0,Kenya
t20,A Sarma,Germany,37,47,2,78.72340425531915,Italy
t20,A Sathyan,Croatia,10,15,0,66.66666666666666,Sweden
t20,A Saud,Nepal,70,64,3,109.375,United Arab Emirates
t20,A Savvani,Greece,49,123,5,39.83739837398374,Romania
t20,A Scantlebury,Barbados,16,35,2,45.714285714285715,Pakistan
t20,A Shahi,Cyprus,87,50,7,174.0,Isle of Man
t20,A Shahzad,England,0,3,0,0.0,South Africa
t20,A Sharafu,United Arab Emirates,1053,812,33,129.67980295566502,Ireland
t20,A Sharma,India,83,111,8,74.77477477477478,England
t20,A Sharma,United Arab Emirates,196,184,10,106.5217391304348,Ireland
t20,A Shreshta,Nigeria,361,376,17,96.01063829787235,Oman
t20,A Shrubsole,England,103,97,8,106.18556701030928,South Africa
t20,A Shukla,Croatia,20,43,4,46.51162790697674,Sweden
t20,A Shukla,Hong Kong,24,44,7,54.54545454545454,Scotland
t20,A Simelane,South Africa,21,26,4,80.76923076923077,Bangladesh
t20,A Sokovagone,Fiji,174,131,7,132.82442748091603,Papua New Guinea
t20,A Sootaga,Samoa,9,18,1,50.0,Vanuatu
t20,A Stocks,Argentina,153,284,14,53.87323943661971,Brazil
t20,A Stoilova,Bulgaria,2,20,2,10.0,Romania
t20,A Sutherland,Australia,191,139,16,137.41007194244602,Sri Lanka
t20,A Suwanchonrathi,Thailand,224,311,18,72.02572347266882,Ireland
t20,A Symonds,Australia,337,204,7,165.19607843137254,Sri Lanka
t20,A Tagilala,Fiji,28,47,2,59.57446808510638,Papua New Guinea
t20,A Taylor,Cyprus,36,128,3,28.125,Isle of Man
t20,A Thorpe,Isle of Man,16,24,3,66.66666666666666,Guernsey
t20,A Tomar,Singapore,5,12,2,41.66666666666667,Qatar
t20,A Tripathi,Mexico,8,27,3,29.629629629629626,Argentina
t20,A Turay,Sierra Leone,263,267,16,98.50187265917603,Namibia
t20,A Turkmen,Turkey,124,129,8,96.12403100775194,Serbia
t20,A Uwimbabazi,Rwanda,36,60,4,60.0,Tanzania
t20,A Vaidya,Sweden,118,148,8,79.72972972972973,Denmark
t20,A Vailoa,Cook Islands,0,1,0,0.0,Fiji
t20,A Vala,Papua New Guinea,1171,1021,45,114.69147894221352,Bangladesh
t20,A Valthapa,United Arab Emirates,5,12,1,41.66666666666667,Ireland
t20,A Venkatesh,Sweden,260,255,11,101.96078431372548,Denmark
t20,A Vessik,Estonia,25,66,5,37.878787878787875,Cyprus
t20,A Wanjira,Kenya,70,103,9,67.96116504854369,Uganda
t20,A Wellington,Australia,9,10,1,90.0,Sri Lanka
t20,A Wright,Cayman Islands,6,20,2,30.0,United States of America
t20,A Yon,St Helena,161,137,7,117.51824817518248,Lesotho
t20,A Zampa,Australia,58,69,10,84.05797101449275,Sri Lanka
t20,A Zimunu,Zimbabwe,9,8,0,112.5,India
t20,A le Breton,South Africa,24,24,2,100.0,Bangladesh
t20,A van Schoor,Namibia,39,32,0,121.875,Lesotho
t20,A van der Merwe,Namibia,373,485,22,76.90721649484537,Lesotho
t20,AA Alleyne,Barbados,8,19,3,42.10526315789473,Pakistan
t20,AA Alleyne,West Indies,335,365,27,91.78082191780823,England
t20,AA Banner,Belize,15,27,4,55.55555555555556,United States of America
t20,AA Deshpande,India,5,16,1,31.25,England
t20,AA Gajic,Serbia,18,37,2,48.64864864864865,Greece
t20,AA Hussein,Tanzania,1,1,0,100.0,Uganda
t20,AA Jasani,Tanzania,185,158,5,117.08860759493672,Uganda
t20,AA Moiane,Mozambique,35,76,6,46.05263157894737,Lesotho
t20,AA Navicha,Mozambique,122,162,7,75.30864197530865,Lesotho
t20,AA Obanda,Kenya,678,590,36,114.91525423728814,Uganda
t20,AA Onikoyi,Nigeria,372,435,24,85.51724137931035,Oman
t20,AA Paradkar,United States of America,16,13,1,123.07692307692308,Canada
t20,AA Patil,India,255,243,15,104.93827160493827,England
t20,AA Rahayu,Indonesia,35,43,3,81.3953488372093,Japan
t20,AAA Patel,Lesotho,32,35,4,91.42857142857143,Malawi
t20,AAH Bhikari,Suriname,2,11,2,18.181818181818183,Brazil
t20,AAIP Bastari,Indonesia,26,28,0,92.85714285714286,Japan
t20,AAM Eliane,Cameroon,3,27,1,11.11111111111111,Sierra Leone
t20,AAP Atkinson,England,10,23,1,43.47826086956522,South Africa
t20,AAP Rivero,Argentina,94,128,11,73.4375,Brazil
t20,AAhan Achar,Singapore,12,15,1,80.0,Qatar
t20,AB Agarkar,India,15,11,1,136.36363636363635,England
t20,AB Barath,West Indies,23,42,2,54.761904761904766,England
t20,AB Dinda,India,22,24,1,91.66666666666666,England
t20,AB Kamara,Sierra Leone,37,53,4,69.81132075471697,Namibia
t20,AB Kaur,India,92,76,3,121.05263157894737,England
t20,AB Martinez,Costa Rica,8,73,2,10.95890410958904,Mexico
t20,AB Mengoumou,Cameroon,8,34,4,23.52941176470588,Sierra Leone
t20,AB Slebsager,Denmark,1,3,1,33.33333333333333,Norway
t20,AB de Villiers,South Africa,1591,1226,63,129.77161500815663,Bangladesh
t20,ABY Smith,Philippines,147,174,6,84.48275862068965,Vanuatu
t20,AC Agar,Australia,277,285,21,97.19298245614036,Sri Lanka
t20,AC Botha,Ireland,75,82,5,91.46341463414635,Hong Kong
t20,AC Brodin,France,16,56,5,28.57142857142857,Germany
t20,AC Douglas,Bermuda,355,270,18,131.4814814814815,United States of America
t20,AC Evans,Scotland,10,15,6,66.66666666666666,Ireland
t20,AC Gilchrist,Australia,272,203,12,133.99014778325122,Sri Lanka
t20,AC Jayangani,Sri Lanka,2984,2710,103,110.11070110701107,Australia
t20,AC Kerr,New Zealand,1453,1344,54,108.11011904761905,Bangladesh
t20,AC Mushangwe,Zimbabwe,20,30,0,66.66666666666666,India
t20,AC Sabino,Brazil,21,59,5,35.59322033898305,Nigeria
t20,AC Septien,Mexico,18,60,2,30.0,Argentina
t20,AC Voges,Australia,139,116,3,119.82758620689656,Sri Lanka
t20,ACF Stokes,Guernsey,23,38,6,60.526315789473685,Germany
t20,ACL Richards,West Indies,10,17,1,58.82352941176471,England
t20,AD Algar,Spain,40,56,1,71.42857142857143,Portugal
t20,AD Diwan Ali,Belgium,2,11,0,18.181818181818183,Luxembourg
t20,AD Dore,Bermuda,161,162,9,99.38271604938271,United States of America
t20,AD Fofana,Mali,3,19,2,15.789473684210526,Kenya
t20,AD Hales,England,2024,1482,65,136.57219973009447,South Africa
t20,AD Mascarenhas,England,123,107,7,114.95327102803739,South Africa
t20,AD Mathews,Sri Lanka,1343,1163,52,115.47721410146174,Australia
t20,AD Poynter,Ireland,171,137,8,124.81751824817518,Hong Kong
t20,AD Russell,West Indies,1053,666,44,158.10810810810813,England
t20,ADL Stokoe,Isle of Man,4,9,1,44.44444444444444,Guernsey
t20,ADS Fletcher,West Indies,973,913,49,106.57174151150055,England
t20,AE Isesele,Nigeria,86,85,8,101.17647058823529,Oman
t20,AE Jones,England,1610,1334,74,120.6896551724138,South Africa
t20,AE Moe,Myanmar,1,7,2,14.285714285714285,China
t20,AE Paraam,Singapore,302,210,6,143.8095238095238,Qatar
t20,AE Satterthwaite,New Zealand,987,967,41,102.06825232678386,Bangladesh
t20,AE Smith,South Africa,44,47,1,93.61702127659575,Bangladesh
