match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
t20,Andrey Lilov,1,1,0,3,0,0,1,0.0
t20,Aneeta Santhosh,1,1,1,7,0,0,1,14.285714285714285
t20,Angela Busa,5,2,11,64,0,0,5,17.1875
t20,Anik Ahmed,4,1,53,61,2,0,2,86.88524590163934
t20,Anique Uddin,12,2,137,174,8,1,11,78.73563218390804
t20,Anjali Chand,1,1,0,2,0,0,1,0.0
t20,Anjar Tadarus,34,2,401,501,45,7,31,80.03992015968065
t20,Anjuli Ghalley,3,2,4,16,0,0,2,25.0
t20,Anjum Chopra,1,1,15,24,1,0,1,62.5
t20,Ankit Dubey,1,1,5,3,0,0,0,166.66666666666669
t20,Anmoldeep Singh,1,1,2,7,0,0,1,28.57142857142857
t20,Anoop Orsu,15,2,166,146,13,9,11,113.69863013698631
t20,Anowarul Islam,4,2,15,21,1,1,4,71.42857142857143
t20,Ansar Iqbal,6,2,80,82,9,2,6,97.5609756097561
t20,Anser Mehmood,4,2,73,74,4,3,3,98.64864864864865
t20,Ansh Tandon,5,2,34,35,3,1,4,97.14285714285714
t20,Anshuman Rath,57,2,1463,1279,146,28,51,114.3862392494136
t20,Anskumar Ahir,1,1,2,6,0,0,0,33.33333333333333
t20,Anthony Roe,2,1,13,38,2,0,2,34.21052631578947
t20,Anwar Ali,10,2,109,77,6,6,7,141.55844155844156
t20,Anwar Arudin,19,2,180,187,21,5,18,96.2566844919786
t20,Anwar Rahman,8,2,10,27,0,0,4,37.03703703703704
t20,Aphsal Ashraf,2,2,49,25,1,5,1,196.0
t20,Apon Mustafizur,2,2,0,10,0,0,2,0.0
t20,Apsari Begam,15,2,142,227,13,0,11,62.55506607929515
t20,Aqib Ilyas,50,3,1213,1031,113,41,44,117.65276430649854
t20,Aqib Iqbal,28,2,472,433,37,12,28,109.00692840646651
t20,Arafat Minhas,2,1,47,43,4,2,2,109.30232558139534
t20,Arafat Sunny,6,2,34,32,3,1,3,106.25
t20,Archara Supriya,3,1,2,11,0,0,1,18.181818181818183
t20,Areeb Quadir,2,1,15,16,0,0,2,93.75
t20,Ariful Haque,7,2,54,62,4,0,4,87.09677419354838
t20,Aritra Dutta,35,2,708,574,71,35,33,123.34494773519165
t20,Arjun Vinod,21,2,395,382,35,12,16,103.40314136125654
t20,Arsalan Ahmed,3,2,35,32,7,0,3,109.375
t20,Arsalan Arif,3,2,24,32,0,0,2,75.0
t20,Arshad Iqbal,2,2,0,2,0,0,2,0.0
t20,Arshad Mazarzei,1,1,1,11,0,0,1,9.090909090909092
t20,Arshdeep Singh,18,2,69,61,6,3,6,113.11475409836065
t20,Arslan Ahmed,2,2,11,31,1,0,2,35.483870967741936
t20,Arslan Amjad,18,2,301,281,23,15,16,107.11743772241992
t20,Aryan Lakra,8,2,50,58,3,2,7,86.20689655172413
t20,Asad Ali Rehemtulla,11,2,42,58,3,0,7,72.41379310344827
t20,Asad Mahmood,5,2,61,55,3,4,5,110.9090909090909
t20,Asad Mohammad,1,1,5,5,1,0,1,100.0
t20,Asad Shafiq,10,2,192,190,19,2,9,101.05263157894737
t20,Ashfaq Ahmed,10,2,128,112,16,4,10,114.28571428571428
t20,Ashiqullah Said,4,1,16,13,2,0,3,123.07692307692308
t20,Ashish Gupta,2,2,15,26,1,1,2,57.692307692307686
t20,Ashish Rana,2,1,5,8,0,0,1,62.5
t20,Ashraful Shuvo,2,1,7,12,0,0,2,58.333333333333336
t20,Ashwin Vinod,7,2,42,32,2,2,2,131.25
t20,Ashwini Govinda,4,2,4,36,0,0,3,11.11111111111111
t20,Asif Ali,66,2,904,767,54,54,51,117.86179921773142
t20,Asif Bevinje,7,2,114,102,12,4,7,111.76470588235294
t20,Asif Iqbal,3,2,36,45,3,1,2,80.0
t20,Asif Khan,40,2,1043,798,66,65,34,130.70175438596493
t20,Asif Shaikh,1,1,0,2,0,0,0,0.0
