match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
odi,NS Dhaliwal,Canada,456,811,16,56.22688039457459,United States of America
odi,NS Poonia,Scotland,12,42,6,28.57142857142857,Hong Kong
odi,NT Broom,New Zealand,919,1168,33,78.68150684931507,Bangladesh
odi,NT Ellis,Australia,73,69,5,105.79710144927536,Pakistan
odi,NT Pascal,West Indies,0,1,1,0.0,England
odi,NV Knight,England,339,483,11,70.1863354037267,Bangladesh
odi,NV Ojha,India,1,9,1,11.11111111111111,Pakistan
odi,NW Bracken,Australia,174,265,16,65.66037735849056,Pakistan
odi,NY McLean,West Indies,231,362,13,63.812154696132595,England
odi,Nadeem Ahmed,Hong Kong,55,132,9,41.66666666666667,Papua New Guinea
odi,Naeem Islam,Bangladesh,842,1246,34,67.57624398073835,New Zealand
odi,Nafees Iqbal,Bangladesh,128,270,10,47.40740740740741,New Zealand
odi,Nahid Rana,Bangladesh,4,9,0,44.44444444444444,New Zealand
odi,Nahida Akter,Bangladesh,185,440,21,42.04545454545455,New Zealand
odi,Nahida Khan,Pakistan,1121,1760,38,63.69318181818182,South Africa
odi,Nain Abidi,Pakistan,521,955,26,54.55497382198953,South Africa
odi,Najeeb Amar,Hong Kong,34,42,1,80.95238095238095,Papua New Guinea
odi,Najiha Alvi,Pakistan,170,271,9,62.73062730627307,South Africa
odi,Nanthita Boonsukham,Thailand,0,4,1,0.0,Netherlands
odi,Naseem Khushi,Oman,360,335,22,107.46268656716418,Papua New Guinea
odi,Naseem Shah,Pakistan,184,213,11,86.3849765258216,South Africa
odi,Nashra Sandhu,Pakistan,98,339,21,28.908554572271388,South Africa
odi,Nasir Aziz,United Arab Emirates,81,125,2,64.8,Papua New Guinea
odi,Nasir Hossain,Bangladesh,1240,1579,47,78.53071564281191,New Zealand
odi,Nasir Jamshed,Pakistan,1418,1931,44,73.43345416882444,South Africa
odi,Nasir Javed,United States of America,2,20,0,10.0,Papua New Guinea
odi,Nasum Ahmed,Bangladesh,156,178,7,87.64044943820225,New Zealand
odi,Natalia Pervaiz,Pakistan,95,155,4,61.29032258064516,South Africa
odi,Naumanullah,Pakistan,5,4,1,125.0,South Africa
odi,Navdeep Saini,India,15,38,1,39.473684210526315,Pakistan
odi,Naved Latif,Pakistan,7,17,2,41.17647058823529,South Africa
odi,Naved-ul-Hasan,Pakistan,449,519,25,86.51252408477842,South Africa
odi,Nazimuddin,Bangladesh,147,246,10,59.756097560975604,New Zealand
odi,Nazmul Hossain,Bangladesh,15,77,4,19.480519480519483,New Zealand
odi,Nazmul Hossain Shanto,Bangladesh,1242,1572,39,79.00763358778626,New Zealand
odi,Nazmul Islam,Bangladesh,7,14,1,50.0,New Zealand
odi,Nestor Dhamba,Oman,23,52,3,44.230769230769226,Papua New Guinea
odi,Nida Dar,Pakistan,1171,1784,52,65.6390134529148,South Africa
odi,Nigar Sultana,Bangladesh,1168,2128,44,54.88721804511278,New Zealand
odi,Nishita Akter Nishi,Bangladesh,2,1,0,200.0,New Zealand
odi,Nizakat Khan,Hong Kong,508,628,14,80.89171974522293,Papua New Guinea
odi,Nurul Hasan,Bangladesh,165,181,2,91.16022099447514,New Zealand
odi,Nuzhat Tasnia,Bangladesh,16,43,2,37.2093023255814,New Zealand
odi,O Bell,Scotland,32,77,3,41.55844155844156,Hong Kong
odi,O Chare,Zimbabwe,3,18,1,16.666666666666664,India
odi,O Davidson,Scotland,14,33,1,42.42424242424242,Hong Kong
odi,O Kamchomphu,Thailand,48,93,9,51.61290322580645,Netherlands
odi,O Kirsten,South Africa,22,54,0,40.74074074074074,Sri Lanka
odi,O Prendergast,Ireland,954,1305,29,73.10344827586206,Bangladesh
odi,O Thomas,West Indies,22,78,5,28.205128205128204,England
odi,OA Shah,England,1579,1963,44,80.4381049414162,Bangladesh
odi,OAC Banks,West Indies,45,60,3,75.0,England
odi,OC McCoy,West Indies,0,1,0,0.0,England
odi,OEG Baartman,South Africa,13,24,0,54.166666666666664,Sri Lanka
odi,OF Smith,West Indies,199,128,7,155.46875,England
odi,OL Pitcher,Bermuda,28,83,3,33.734939759036145,Sri Lanka
odi,OO Bascome,Bermuda,17,47,1,36.17021276595745,Sri Lanka
odi,OP Stone,England,24,35,3,68.57142857142857,Bangladesh
odi,OU Ranasinghe,Sri Lanka,279,489,20,57.05521472392638,Australia
odi,OV Anderson,South Africa,46,97,0,47.42268041237113,Sri Lanka
odi,Omid Shafi Rahman,United Arab Emirates,1,7,1,14.285714285714285,Papua New Guinea
odi,P Jayawickrama,Sri Lanka,7,12,0,58.333333333333336,Australia
odi,P Khadka,Nepal,252,317,7,79.49526813880126,Oman
odi,P Kumar,India,292,338,23,86.3905325443787,Pakistan
odi,P Litchfield,Australia,895,1142,23,78.37127845884413,Pakistan
odi,P Marange,Zimbabwe,125,153,10,81.69934640522875,India
odi,P Maya,Thailand,114,214,11,53.271028037383175,Netherlands
odi,P Molkenboer,Netherlands,135,279,6,48.38709677419355,Zimbabwe
odi,P Mujaji,Zimbabwe,86,166,7,51.80722891566265,India
odi,P Mustard,England,219,244,9,89.75409836065575,Bangladesh
odi,P Nissanka,Sri Lanka,1820,2177,50,83.60128617363344,Australia
odi,P Roy,India,5,34,2,14.705882352941178,Pakistan
odi,P Sarraf,Nepal,72,118,9,61.016949152542374,Oman
odi,P Siaka,Papua New Guinea,160,235,7,68.08510638297872,Ireland
odi,P Utseya,Zimbabwe,1114,1935,59,57.57105943152455,India
odi,P Vastrakar,India,579,671,22,86.28912071535022,Pakistan
odi,PA Browne,West Indies,134,183,4,73.224043715847,England
odi,PA Chatterji,Scotland,236,374,13,63.101604278074866,Hong Kong
odi,PA Desai,Canada,2,12,0,16.666666666666664,United States of America
odi,PA Hitchcock,New Zealand,32,50,3,64.0,Bangladesh
odi,PA Jaques,Australia,123,170,5,72.35294117647058,Pakistan
odi,PA Nixon,England,297,351,15,84.61538461538461,Bangladesh
odi,PA Patel,India,693,884,25,78.39366515837104,Pakistan
odi,PA de Silva,Sri Lanka,390,487,13,80.08213552361396,Australia
odi,PA van Meekeren,Netherlands,85,127,13,66.92913385826772,Zimbabwe
odi,PADLR Sandakan,Sri Lanka,64,147,12,43.53741496598639,Australia
odi,PARP Perera,Sri Lanka,33,61,2,54.09836065573771,Australia
odi,PBB Rajapaksa,Sri Lanka,89,87,5,102.29885057471265,Australia
odi,PC Connell,Ireland,6,24,2,25.0,Bangladesh
odi,PC de Silva,Sri Lanka,77,98,4,78.57142857142857,Australia
