match_type,bowler,matches,balls_bowled,runs_conceded,wickets,maidens,overs,economy
odi,AF Milne,47,2261,2023,59,0,376.8333333333333,5.36842105263158
odi,AG Cremer,67,3231,2627,75,0,538.5,4.87836583101207
odi,AG Prince,1,12,3,0,0,2.0,1.5
odi,AG Wharf,12,562,403,18,0,93.66666666666667,4.302491103202847
odi,AGC Vimukthi,2,62,65,0,0,10.333333333333334,6.290322580645161
odi,AGR Loudon,1,37,38,0,0,6.166666666666667,6.162162162162162
odi,AH Maqsood,13,604,463,27,0,100.66666666666667,4.599337748344371
odi,AH Thomson,1,35,47,0,0,5.833333333333333,8.057142857142857
odi,AI Chudasama,9,509,328,13,0,84.83333333333333,3.8664047151277017
odi,AJ Bichel,26,1297,943,33,0,216.16666666666666,4.362374710871242
odi,AJ Burger,5,98,104,3,0,16.333333333333332,6.367346938775511
odi,AJ Finch,21,287,259,5,0,47.833333333333336,5.414634146341463
odi,AJ Hall,52,2621,1989,85,0,436.8333333333333,4.553223960320489
odi,AJ Hosein,38,2132,1709,60,0,355.3333333333333,4.809568480300188
odi,AJ Ireland,13,674,612,16,0,112.33333333333333,5.448071216617211
odi,AJ Kenealy,6,230,186,6,0,38.333333333333336,4.852173913043478
odi,AJ McKay,19,973,819,28,0,162.16666666666666,5.050359712230216
odi,AJ Strauss,1,6,3,0,0,1.0,3.0
odi,AJ Turner,2,86,60,2,0,14.333333333333334,4.186046511627906
odi,AJ Tye,7,400,396,15,0,66.66666666666667,5.9399999999999995
odi,AK Maguire,11,488,462,17,0,81.33333333333333,5.680327868852459
odi,AK Markram,33,996,918,19,0,166.0,5.530120481927711
odi,AK Perera,3,36,33,0,0,6.0,5.5
odi,AK Peters,4,88,72,1,0,14.666666666666666,4.909090909090909
odi,AL Kandappah,1,1,4,0,0,0.16666666666666666,24.0
odi,AL Phehlukwayo,75,3189,3003,96,0,531.5,5.650047036688617
odi,AL Watkins,1,13,21,0,0,2.1666666666666665,9.692307692307693
odi,AM Bacher,3,108,66,3,0,18.0,3.6666666666666665
odi,AM Blignaut,30,1436,1201,30,0,239.33333333333334,5.018105849582173
odi,AM Ellis,13,494,433,14,0,82.33333333333333,5.259109311740891
odi,AM Fernando,16,595,573,17,0,99.16666666666667,5.778151260504202
odi,AM Guruge,4,174,138,7,0,29.0,4.758620689655173
odi,AM Hardie,11,395,344,10,0,65.83333333333333,5.225316455696203
odi,AM McCarthy,1,12,10,0,0,2.0,5.0
odi,AM Nayar,1,20,17,0,0,3.3333333333333335,5.1
odi,AM Peterson,16,593,371,19,0,98.83333333333333,3.7537942664418216
odi,AM Phangiso,21,1103,847,30,0,183.83333333333334,4.6074342701722575
odi,AM Samad,4,69,93,2,0,11.5,8.08695652173913
odi,AM Tribe,2,13,20,0,0,2.1666666666666665,9.230769230769232
odi,AN Davidson-Richards,4,142,119,6,0,23.666666666666668,5.028169014084507
odi,AN Kelly,31,1503,1223,45,0,250.5,4.8822355289421155
odi,AN Petersen,1,9,7,0,0,1.5,4.666666666666667
odi,AO Suji,9,242,249,5,0,40.333333333333336,6.173553719008264
odi,AP Devcich,11,335,295,5,0,55.833333333333336,5.2835820895522385
odi,APC Kilowan,4,209,66,8,0,34.833333333333336,1.894736842105263
odi,AR Adams,17,834,730,28,0,139.0,5.251798561151079
odi,AR Bisht,1,19,14,0,0,3.1666666666666665,4.421052631578948
odi,AR Caddick,11,604,389,18,0,100.66666666666667,3.8642384105960264
odi,AR Cusack,27,1009,866,34,0,168.16666666666666,5.149653121902874
odi,AR McBrine,68,3398,2753,74,0,566.3333333333334,4.861094761624485
odi,AR Nurse,45,2187,2009,44,0,364.5,5.5116598079561046
odi,AR Patel,63,3193,2406,75,0,532.1666666666666,4.521139993736298
odi,AR White,16,328,253,10,0,54.666666666666664,4.628048780487805
odi,AS Hansra,12,282,285,2,0,47.0,6.0638297872340425
odi,AS Joseph,73,3949,3570,133,0,658.1666666666666,5.424158014687263
odi,AS Luseno,2,68,58,4,0,11.333333333333334,5.117647058823529
odi,AS Tanke,2,68,58,1,0,11.333333333333334,5.117647058823529
odi,AS van Beuge,6,183,159,8,0,30.5,5.213114754098361
odi,ASS Fletcher,50,2388,1790,74,0,398.0,4.49748743718593
odi,AT Nidamanuru,1,6,8,0,0,1.0,8.0
odi,AT Rayudu,9,124,128,3,0,20.666666666666668,6.193548387096774
odi,AU Rashid,141,7474,7006,223,0,1245.6666666666667,5.624297564891624
odi,AV Lalcheta,2,84,62,2,0,14.0,4.428571428571429
odi,AW Mathieson,1,25,40,1,0,4.166666666666667,9.6
odi,AY Karim,4,141,69,4,0,23.5,2.9361702127659575
odi,Aakash Chand,2,82,82,2,0,13.666666666666666,6.0
odi,Aamer Jamal,3,102,86,3,0,17.0,5.0588235294117645
odi,Aamer Yamin,4,162,155,2,0,27.0,5.7407407407407405
odi,Aamir Kaleem,15,681,411,19,0,113.5,3.6211453744493394
odi,Aarif Sheikh,29,762,589,8,0,127.0,4.637795275590551
odi,Aaron Jones,10,200,196,0,0,33.333333333333336,5.88
odi,Aayan Afzal Khan,38,1990,1381,50,0,331.6666666666667,4.163819095477387
odi,Abdul Razzaq,112,4518,3694,110,0,753.0,4.905710491367862
odi,Abdur Rauf,4,224,217,8,0,37.333333333333336,5.8125
odi,Abdur Razzak,121,6408,4923,176,0,1068.0,4.609550561797753
odi,Abdur Rehman,30,1588,1130,35,0,264.6666666666667,4.269521410579345
odi,Abrar Ahmed,9,522,405,16,0,87.0,4.655172413793103
odi,Abu Hider,1,54,43,1,0,9.0,4.777777777777778
odi,Abu Jayed,2,113,121,5,0,18.833333333333332,6.424778761061948
odi,Abul Hasan,7,221,245,0,0,36.833333333333336,6.651583710407239
odi,Adeel Raja,7,281,288,6,0,46.833333333333336,6.149466192170818
odi,Adhitya Shetty,1,60,56,1,0,10.0,5.6
odi,Afif Hossain,9,105,108,3,0,17.5,6.171428571428572
odi,Aftab Ahmed,18,411,379,4,0,68.5,5.532846715328467
odi,Afzaal Haider,2,81,123,2,0,13.5,9.11111111111111
odi,Agha Salman,27,863,840,16,0,143.83333333333334,5.840092699884125
odi,Ahmed Raza,47,2523,1757,61,0,420.5,4.178359096313912
odi,Ahmed Shehzad,9,116,140,2,0,19.333333333333332,7.241379310344828
