match_type,bowler,matches,balls_bowled,runs_conceded,wickets,maidens,overs,economy
t20,CA Keita,4,44,54,5,0,7.333333333333333,7.363636363636364
t20,CA Liyanage,1,6,14,0,0,1.0,14.0
t20,CA Soper,22,421,498,29,0,70.16666666666667,7.097387173396674
t20,CA Young,59,1267,1690,82,0,211.16666666666666,8.003157063930544
t20,CAH Stevenson,4,74,101,4,0,12.333333333333334,8.18918918918919
t20,CAJ Meschede,4,100,85,5,0,16.666666666666668,5.1
t20,CAK Rajitha,17,394,595,16,0,65.66666666666667,9.060913705583756
t20,CB Mpofu,26,608,916,28,0,101.33333333333333,9.039473684210527
t20,CB Roposo,10,190,187,16,0,31.666666666666668,5.905263157894737
t20,CB Sole,16,355,553,17,0,59.166666666666664,9.346478873239437
t20,CBRLS Kumara,24,548,756,37,0,91.33333333333333,8.277372262773723
t20,CC Blake,3,52,50,1,0,8.666666666666666,5.76923076923077
t20,CC van Slobbe,5,113,91,7,0,18.833333333333332,4.831858407079646
t20,CD Barnwell,4,38,51,1,0,6.333333333333333,8.052631578947368
t20,CD Mboe,2,41,21,4,0,6.833333333333333,3.073170731707317
t20,CD de Lange,6,142,132,10,0,23.666666666666668,5.577464788732394
t20,CE Dean,41,896,1007,59,0,149.33333333333334,6.743303571428571
t20,CE McConchie,9,136,167,7,0,22.666666666666668,7.367647058823529
t20,CG Osborne,2,24,33,3,0,4.0,8.25
t20,CG Williams,13,177,187,9,0,29.5,6.338983050847458
t20,CH Abeyratne,4,67,87,1,0,11.166666666666666,7.791044776119404
t20,CH Gayle,30,394,451,20,0,65.66666666666667,6.868020304568527
t20,CH Morris,22,506,685,32,0,84.33333333333333,8.122529644268775
t20,CH van Koolwijk,2,22,21,1,0,3.6666666666666665,5.7272727272727275
t20,CI Manidom,4,73,69,5,0,12.166666666666666,5.671232876712329
t20,CJ Ana,3,71,68,1,0,11.833333333333334,5.746478873239436
t20,CJ Anderson,27,445,602,20,0,74.16666666666667,8.116853932584268
t20,CJ Boyce,7,138,152,8,0,23.0,6.608695652173913
t20,CJ Chibhabha,17,248,324,13,0,41.333333333333336,7.838709677419354
t20,CJ Dala,10,204,309,13,0,34.0,9.088235294117647
t20,CJ Delany,3,35,61,0,0,5.833333333333333,10.457142857142857
t20,CJ Dias,7,142,127,7,0,23.666666666666668,5.366197183098591
t20,CJ Gannon,3,57,68,4,0,9.5,7.157894736842105
t20,CJ Green,1,24,37,0,0,4.0,9.25
t20,CJ Jordan,93,2034,2881,123,0,339.0,8.498525073746313
t20,CJ Langford,14,278,266,19,0,46.333333333333336,5.741007194244604
t20,CJ McKay,6,140,183,4,0,23.333333333333332,7.842857142857143
t20,CJ Metcalfe,19,390,369,23,0,65.0,5.676923076923077
t20,CJA Amini,42,714,766,38,0,119.0,6.436974789915967
t20,CJPF Kalugamage,11,203,211,11,0,33.833333333333336,6.236453201970443
t20,CK Jasmat,9,180,176,7,0,30.0,5.866666666666666
t20,CK Langeveldt,8,186,236,15,0,31.0,7.612903225806452
